GOESDEC,ACTIVE, RTCNAME, S_OFV, S_ONV, S_NV, S_TTMODE, S_RTFV, S_OTC, S_TBV, S_DTFMT, S_DTSIZE, S_BID, S_BIDCNT, R_OFV, R_ONV, R_NV, R_TTMODE, R_RTFV, R_OTC, R_TBV, R_DTFMT, R_DTSIZE, R_BID, R_BIDCNT, EDITDATE, OWNER,                                                                                                                                                                                       
BFAM    WG,1,,10,15,4,R,-47,0,15,X,3,,0,0,0,0,I,0,0,0,,0,,0,11-JUL-2017 18:15:31.10,KFOLEY,                                                                                                                                                                                                                                                                                                                     
BFCE    CH,1,,4,3,8,R,-4,0,-15,B,3,,0,2,3,0,I,0,-1,-15,B,3,A,0,27-JAN-2010 16:13:59.38,RMICHEL,                                                                                                                                                                                                                                                                                                                 
BFCE    PC,0,,28,3,8,R,-4,0,-15,B,3,,0,0,0,0,I,0,0,0,,0,,0,08-JUN-2016 12:30:16.43,LDEAVILA,                                                                                                                                                                                                                                                                                                                    
BFR     FB,1,,16,3,4,R,-10,0,-15,B,3,,0,14,3,0,I,-1,-13,-15,B,3,,0,06-MAY-2016 08:01:23.79,LDEAVILA,                                                                                                                                                                                                                                                                                                            
BFR     FB2,1,,28,3,4,R,-10,0,-15,B,3,,0,0,0,0,I,0,0,0,,0,,0,06-MAY-2016 09:35:59.22,LDEAVILA,                                                                                                                                                                                                                                                                                                                  
BFR     PC,1,,4,3,4,R,-10,0,-15,B,3,,0,2,3,4,I,0,-1,-15,B,3,,0,21-APR-2016 12:54:11.45,LDEAVILA,                                                                                                                                                                                                                                                                                                                
BFR     QCN,1,,52,3,4,R,-10,0,-15,B,3,,0,0,0,0,I,0,0,0,B,3,,0,24-MAY-2016 13:43:17.92,JFREIN,                                                                                                                                                                                                                                                                                                                   
BFR     QCS,1,,40,3,4,R,-10,0,-15,B,3,,0,0,0,0,I,0,0,0,B,3,,0,24-MAY-2016 13:40:14.29,LDEAVILA,                                                                                                                                                                                                                                                                                                                 
BFTM    BV,1,,67,0,1,R,-10,0,0,X,3,,0,5,6,3,I,0,-4,-15,T,3,D,1,08-JUN-2017 22:13:32.68,DKNUTESON,                                                                                                                                                                                                                                                                                                               
BFTM    OB,1,,4,15,4,R,-55,0,15,X,3,,0,5,6,3,I,0,-4,-15,T,3,D,1,08-JUN-2017 22:13:53.54,DKNUTESON,                                                                                                                                                                                                                                                                                                              
BFTM    PC,1,,61,0,1,R,-11,0,0,X,3,,0,2,9,3,I,0,-1,-15,B,3,E,1,12-JUN-2017 13:28:03.46,DKNUTESON,                                                                                                                                                                                                                                                                                                               
