Date,0,10000,20000,30000,40000,50000,60000,70000,80000,90000,100000,110000,120000,130000,140000,150000,160000,170000,180000,190000,200000,210000,220000,230000,240000,250000,260000,270000,280000,290000,300000
5/9/2011,0,0,0,0,0,0,0,5296.132215,12978.29812,20175.30555,28514.33664,35085.89234,41909.22388,48742.50898,55474.92666,62094.38281,68655.23586,75246.02239,79055.06248,79055.06248,79055.06248,79055.06248,79055.06248,79055.06248,79055.06248,79055.06248,79055.06248,79055.06248,79055.06248,79055.06248,79055.06248
5/10/2011,0,0,0,0,0,0,0,6011.477219,13682.33432,20917.51293,29241.67293,35888.12162,42794.77733,49712.4249,56527.08796,63227.75444,69874.10232,76564.22515,78714.4715,78714.4715,78714.4715,78714.4715,78714.4715,78714.4715,78714.4715,78714.4715,78714.4715,78714.4715,78714.4715,78714.4715,78714.4715
5/11/2011,0,0,0,0,0,0,0,6708.616432,14371.91286,21646.10657,29947.81055,36672.36225,43664.04457,50666.38747,57562.39717,64342.28167,71071.17645,77856.87007,78331.88144,78331.88144,78331.88144,78331.88144,78331.88144,78331.88144,78331.88144,78331.88144,78331.88144,78331.88144,78331.88144,78331.88144,78331.88144
5/12/2011,0,0,0,0,0,0,0,7388.515923,15047.94154,22362.00076,30634.82994,37440.4864,44518.54693,51605.42464,58581.24632,65437.57803,72245.15079,77909.3875,77909.3875,77909.3875,77909.3875,77909.3875,77909.3875,77909.3875,77909.3875,77909.3875,77909.3875,77909.3875,77909.3875,77909.3875,77909.3875
5/13/2011,0,0,0,0,0,0,0,8052.125649,15711.29912,23066.06779,31304.84036,38194.3386,45359.72169,52530.42387,59583.8305,66513.00372,73394.40805,77448.91679,77448.91679,77448.91679,77448.91679,77448.91679,77448.91679,77448.91679,77448.91679,77448.91679,77448.91679,77448.91679,77448.91679,77448.91679,77448.91679
5/14/2011,0,0,0,0,0,0,385.3519674,8700.376588,16362.83242,23759.13512,31959.95415,38935.71003,46188.89632,53442.10635,60570.1221,67567.63975,74516.99535,76952.22833,76952.22833,76952.22833,76952.22833,76952.22833,76952.22833,76952.22833,76952.22833,76952.22833,76952.22833,76952.22833,76952.22833,76952.22833,76952.22833
5/15/2011,0,0,0,0,0,0,1082.613968,9334.177872,17003.35351,24441.98252,32602.26092,39666.3127,47007.26265,54341.00124,61539.84502,68600.26223,75610.59844,76420.91303,76420.91303,76420.91303,76420.91303,76420.91303,76420.91303,76420.91303,76420.91303,76420.91303,76420.91303,76420.91303,76420.91303,76420.91303,76420.91303
5/16/2011,0,0,0,0,0,0,1759.935464,9954.413921,17633.6368,25115.33914,33233.8018,40387.75369,47815.85118,55227.41987,62492.44889,69609.31655,75856.39372,75856.39372,75856.39372,75856.39372,75856.39372,75856.39372,75856.39372,75856.39372,75856.39372,75856.39372,75856.39372,75856.39372,75856.39372,75856.39372,75856.39372
5/17/2011,0,0,0,0,0,0,2418.360989,10561.94157,18254.41621,25779.88072,33856.54366,41101.50937,48615.50523,56101.42998,63427.08334,70592.89165,75259.92512,75259.92512,75259.92512,75259.92512,75259.92512,75259.92512,75259.92512,75259.92512,75259.92512,75259.92512,75259.92512,75259.92512,75259.92512,75259.92512,75259.92512
5/18/2011,0,0,0,0,0,0,3058.917561,11157.58722,18866.38225,26436.22668,34472.35332,41808.89963,49406.85523,56962.82997,64342.57216,71548.69419,74632.59387,74632.59387,74632.59387,74632.59387,74632.59387,74632.59387,74632.59387,74632.59387,74632.59387,74632.59387,74632.59387,74632.59387,74632.59387,74632.59387,74632.59387
5/19/2011,0,0,0,0,0,0,3682.611818,11742.14394,19470.1792,27084.93726,35082.97181,42511.06212,50190.29289,57811.12308,65237.38758,72474.02284,73975.3185,73975.3185,73975.3185,73975.3185,73975.3185,73975.3185,73975.3185,73975.3185,73975.3185,73975.3185,73975.3185,73975.3185,73975.3185,73975.3185,73975.3185
