id,seriesid,name,value
1091,460,t2,5/8/2017
1092,460,count,2685
1093,461,t1,1/1/2010
1094,461,t2,5/8/2017
1095,461,count,2685
1096,462,t1,1/1/2010
1097,462,t2,5/8/2017
1098,462,count,2685
1099,463,t1,1/1/2010
1100,463,t2,5/8/2017
1101,463,count,2685
1102,464,t1,1/1/2010
1103,464,t2,5/8/2017
1104,464,count,2685
1123,471,t1,1/1/2010
1124,471,t2,5/8/2017
1125,471,count,2685
1126,472,t1,1/1/2010
1127,472,t2,5/8/2017
1128,472,count,2685
1129,473,t1,1/1/2010
1130,473,t2,5/8/2017
1131,473,count,2685
1132,474,t1,1/1/2010
1133,474,t2,5/8/2017
1134,474,count,2685
1135,475,t1,1/1/2010
1136,475,t2,5/8/2017
1137,475,count,2685
1138,476,t1,1/1/2010
1139,476,t2,5/8/2017
1140,476,count,2685
1141,477,t1,1/1/2010
1142,477,t2,5/8/2017
1143,477,count,2685
1144,478,t1,1/1/2010
1145,478,t2,5/8/2017
1146,478,count,2685
1156,482,t1,1/1/2010
1157,482,t2,5/8/2017
1158,482,count,2685
1159,483,t1,1/1/2010
1160,483,t2,5/8/2017
1161,483,count,2685
1162,484,t1,1/1/2010
1163,484,t2,5/8/2017
1164,484,count,2685
1165,485,t1,1/1/2010
1166,485,t2,5/8/2017
1167,485,count,2685
1168,486,t1,1/1/2010
1169,486,t2,5/8/2017
1170,486,count,2685
1171,487,t1,1/1/2010
1172,487,t2,5/8/2017
1173,487,count,2685
1174,488,t1,1/1/2010
1175,488,t2,5/8/2017
1176,488,count,2685
1177,489,t1,1/1/2010
1178,489,t2,5/8/2017
1179,489,count,2685
1180,490,t1,1/1/2010
1181,490,t2,5/8/2017
1182,490,count,2685
1183,491,t1,1/1/2010
1184,491,t2,5/8/2017
1185,491,count,2685
1192,494,t1,1/1/2010
1193,494,t2,5/8/2017
1194,494,count,2685
1195,495,t1,1/1/2010
1196,495,t2,5/8/2017
1197,495,count,2685
1198,496,t1,1/1/2010
1199,496,t2,5/8/2017
1200,496,count,2685
1201,497,t1,1/1/2010
1202,497,t2,5/8/2017
1203,497,count,2685
1204,498,t1,1/1/2010
1205,498,t2,5/8/2017
1206,498,count,2685
1207,499,t1,1/1/2010
1208,499,t2,5/8/2017
1209,499,count,2685
1210,500,t1,1/1/2010
1211,500,t2,5/8/2017
1212,500,count,2685
1213,501,t1,1/1/2010
1214,501,t2,5/8/2017
1215,501,count,2685
1219,503,t1,1/1/2010
1220,503,t2,5/8/2017
1221,503,count,2685
1225,505,t1,1/1/2010
1226,505,t2,5/8/2017
1227,505,count,2685
1228,506,t1,1/1/2010
1229,506,t2,5/8/2017
1230,506,count,2685
1231,507,t1,1/1/2010
1232,507,t2,5/8/2017
1233,507,count,2685
1234,508,t1,1/1/2010
1235,508,t2,5/8/2017
1236,508,count,2685
1246,512,t1,1/1/2010
1247,512,t2,5/8/2017
1248,512,count,2685
1249,513,t1,1/1/2010
1250,513,t2,5/8/2017
1251,513,count,2685
1252,514,t1,1/1/2010
1253,514,t2,5/8/2017
1254,514,count,2685
1255,515,t1,1/1/2010
1256,515,t2,5/8/2017
1257,515,count,2685
1258,516,t1,1/1/2010
1259,516,t2,5/8/2017
1260,516,count,2685
