A_ID,parentid,isfolder,sortorder,iconname,name,siteid,units,timeinterval,parameter,tablename,provider,connectionstring,expression,notes,enabled
1795,1777,0,1162,sum,fafi_xc,fafi,,Daily,xc,daily_fafi_xc,CalculationSeries,,DailyMin(instant_%site%_sw),,1
1800,1777,0,1168,sum,fafi_zk,fafi,,Daily,zk,daily_fafi_zk,CalculationSeries,,DailyMax(instant_%site%_za),,1
1798,1777,0,1166,sum,fafi_zg,fafi,,Daily,zg,daily_fafi_zg,CalculationSeries,,DailyMin(instant_%site%_zb),,1
1787,1777,0,1155,sum,fafi_sr,fafi,,Daily,sr,daily_fafi_sr,CalculationSeries,,"DailySum(instant_%site%_si,92)/4.0",,1
1784,1777,0,1152,sum,fafi_pc,fafi,,Daily,pc,daily_fafi_pc,CalculationSeries,,DailyMidnight(instant_%site%_pc),,1
1791,1777,0,1159,sum,fafi_ud,fafi,,Daily,ud,daily_fafi_ud,CalculationSeries,,DailyAzimuth(instant_%site%_wd),,1
1786,1777,0,1154,sum,fafi_pu,fafi,,Daily,pu,daily_fafi_pu,CalculationSeries,,"DailyWaterYearRunningTotal(daily_%site%_pp,daily_%site%_pu)",,1
1783,1777,0,1151,sum,fafi_mx,fafi,,Daily,mx,daily_fafi_mx,CalculationSeries,,DailyMax(instant_%site%_obx),,1
1782,1777,0,1150,sum,fafi_mn,fafi,,Daily,mn,daily_fafi_mn,CalculationSeries,,DailyMin(instant_%site%_obn),,1
1781,1777,0,1149,sum,fafi_mm,fafi,,Daily,mm,daily_fafi_mm,CalculationSeries,,"DailyAverage(instant_%site%_obm,92)",,1
1794,1777,0,1164,sum,fafi_ym,fafi,,Daily,ym,daily_fafi_ym,CalculationSeries,,"DailyAverage(instant_%site%_tp,92)",,1
1780,1777,0,1148,sum,fafi_etrs,fafi,,Daily,etrs,daily_fafi_etrs,CalculationSeries,,"DailyEtAscePenmanMontieth(daily_%site%_mm,daily_%site%_mn,daily_%site%_mx,daily_%site%_ym,daily_%site%_wr,3.0,daily_%site%_sr,%site%.latitude,%site%.elevation,0.38,1600.0)",,1
1779,1777,0,1147,sum,fafi_etos,fafi,,Daily,etos,daily_fafi_etos,CalculationSeries,,"DailyEtAscePenmanMontieth(daily_%site%_mm,daily_%site%_mn,daily_%site%_mx,daily_%site%_ym,daily_%site%_wr,3.0,daily_%site%_sr,%site%.latitude,%site%.elevation, 0.34,900)",,1
